Date,Count,Date,Census_Tracts,PoliceDistrict
2013-07-07,56,2013-07-07,1002.0,Eastern
2013-07-14,60,2013-07-14,1002.0,Eastern
2013-07-21,47,2013-07-21,1002.0,Eastern
2013-07-28,45,2013-07-28,1002.0,Eastern
2013-08-04,59,2013-08-04,1002.0,Eastern
2013-08-11,58,2013-08-11,1002.0,Eastern
2013-08-18,49,2013-08-18,1002.0,Eastern
2013-08-25,54,2013-08-25,1002.0,Eastern
2013-09-01,69,2013-09-01,1002.0,Eastern
2013-09-08,80,2013-09-08,1002.0,Eastern
2013-09-15,60,2013-09-15,1002.0,Eastern
2013-09-22,64,2013-09-22,1002.0,Eastern
2013-09-29,64,2013-09-29,1002.0,Eastern
2013-10-06,62,2013-10-06,1002.0,Eastern
2013-10-13,40,2013-10-13,1002.0,Eastern
2013-10-20,49,2013-10-20,1002.0,Eastern
2013-10-27,83,2013-10-27,1002.0,Eastern
2013-11-03,51,2013-11-03,1002.0,Eastern
2013-11-10,50,2013-11-10,1002.0,Eastern
2013-11-17,54,2013-11-17,1002.0,Eastern
2013-11-24,57,2013-11-24,1002.0,Eastern
2013-12-01,45,2013-12-01,1002.0,Eastern
2013-12-08,60,2013-12-08,1002.0,Eastern
2013-12-15,52,2013-12-15,1002.0,Eastern
2013-12-22,58,2013-12-22,1002.0,Eastern
2013-12-29,68,2013-12-29,1002.0,Eastern
2014-01-05,53,2014-01-05,1002.0,Eastern
2014-01-12,48,2014-01-12,1002.0,Eastern
2014-01-19,56,2014-01-19,1002.0,Eastern
2014-01-26,109,2014-01-26,1002.0,Eastern
2014-02-02,53,2014-02-02,1002.0,Eastern
2014-02-09,53,2014-02-09,1002.0,Eastern
2014-02-16,59,2014-02-16,1002.0,Eastern
2014-02-23,46,2014-02-23,1002.0,Eastern
2014-03-02,64,2014-03-02,1002.0,Eastern
2014-03-09,53,2014-03-09,1002.0,Eastern
2014-03-16,60,2014-03-16,1002.0,Eastern
2014-03-23,92,2014-03-23,1002.0,Eastern
2014-03-30,55,2014-03-30,1002.0,Eastern
2014-04-06,69,2014-04-06,1002.0,Eastern
2014-04-13,73,2014-04-13,1002.0,Eastern
2014-04-20,75,2014-04-20,1002.0,Eastern
2014-04-27,70,2014-04-27,1002.0,Eastern
2014-05-04,59,2014-05-04,1002.0,Eastern
2014-05-11,73,2014-05-11,1002.0,Eastern
2014-05-18,76,2014-05-18,1002.0,Eastern
2014-05-25,73,2014-05-25,1002.0,Eastern
2014-06-01,70,2014-06-01,1002.0,Eastern
2014-06-08,66,2014-06-08,1002.0,Eastern
2014-06-15,73,2014-06-15,1002.0,Eastern
2014-06-22,70,2014-06-22,1002.0,Eastern
2014-06-29,64,2014-06-29,1002.0,Eastern
2014-07-06,79,2014-07-06,1002.0,Eastern
2014-07-13,74,2014-07-13,1002.0,Eastern
2014-07-20,69,2014-07-20,1002.0,Eastern
2014-07-27,73,2014-07-27,1002.0,Eastern
2014-08-03,88,2014-08-03,1002.0,Eastern
2014-08-10,76,2014-08-10,1002.0,Eastern
2014-08-17,58,2014-08-17,1002.0,Eastern
2014-08-24,62,2014-08-24,1002.0,Eastern
2014-08-31,89,2014-08-31,1002.0,Eastern
2014-09-07,42,2014-09-07,1002.0,Eastern
2014-09-14,74,2014-09-14,1002.0,Eastern
2014-09-21,79,2014-09-21,1002.0,Eastern
2014-09-28,78,2014-09-28,1002.0,Eastern
2014-10-05,73,2014-10-05,1002.0,Eastern
2014-10-12,71,2014-10-12,1002.0,Eastern
2014-10-19,72,2014-10-19,1002.0,Eastern
2014-10-26,60,2014-10-26,1002.0,Eastern
2014-11-02,45,2014-11-02,1002.0,Eastern
2014-11-09,93,2014-11-09,1002.0,Eastern
2014-11-16,56,2014-11-16,1002.0,Eastern
2014-11-23,38,2014-11-23,1002.0,Eastern
2014-11-30,69,2014-11-30,1002.0,Eastern
2014-12-07,55,2014-12-07,1002.0,Eastern
2014-12-14,58,2014-12-14,1002.0,Eastern
2014-12-21,62,2014-12-21,1002.0,Eastern
2014-12-28,47,2014-12-28,1002.0,Eastern
2015-01-04,58,2015-01-04,1002.0,Eastern
2015-01-11,58,2015-01-11,1002.0,Eastern
2015-01-18,53,2015-01-18,1002.0,Eastern
2015-01-25,70,2015-01-25,1002.0,Eastern
2015-02-01,66,2015-02-01,1002.0,Eastern
2015-02-08,61,2015-02-08,1002.0,Eastern
2015-02-15,50,2015-02-15,1002.0,Eastern
2015-02-22,51,2015-02-22,1002.0,Eastern
2015-03-01,42,2015-03-01,1002.0,Eastern
2015-03-08,44,2015-03-08,1002.0,Eastern
2015-03-15,45,2015-03-15,1002.0,Eastern
2015-03-22,58,2015-03-22,1002.0,Eastern
2015-03-29,45,2015-03-29,1002.0,Eastern
2015-04-05,79,2015-04-05,1002.0,Eastern
2015-04-12,51,2015-04-12,1002.0,Eastern
2015-04-19,71,2015-04-19,1002.0,Eastern
2015-04-26,60,2015-04-26,1002.0,Eastern
2015-05-03,86,2015-05-03,1002.0,Eastern
2015-05-10,94,2015-05-10,1002.0,Eastern
2015-05-17,60,2015-05-17,1002.0,Eastern
2015-05-24,62,2015-05-24,1002.0,Eastern
2015-05-31,56,2015-05-31,1002.0,Eastern
2015-06-07,51,2015-06-07,1002.0,Eastern
2015-06-14,67,2015-06-14,1002.0,Eastern
2015-06-21,53,2015-06-21,1002.0,Eastern
2015-06-28,56,2015-06-28,1002.0,Eastern
2015-07-05,60,2015-07-05,1002.0,Eastern
2015-07-12,65,2015-07-12,1002.0,Eastern
2015-07-19,72,2015-07-19,1002.0,Eastern
2015-07-26,65,2015-07-26,1002.0,Eastern
2015-08-02,59,2015-08-02,1002.0,Eastern
2015-08-09,84,2015-08-09,1002.0,Eastern
2015-08-16,69,2015-08-16,1002.0,Eastern
2015-08-23,70,2015-08-23,1002.0,Eastern
2015-08-30,68,2015-08-30,1002.0,Eastern
2015-09-06,69,2015-09-06,1002.0,Eastern
2015-09-13,77,2015-09-13,1002.0,Eastern
2015-09-20,43,2015-09-20,1002.0,Eastern
