Date,Count,Date,District
2013-07-31,5234,2013-07-31,Western
2013-08-31,5162,2013-08-31,Western
2013-09-30,4735,2013-09-30,Western
2013-10-31,4754,2013-10-31,Western
2013-11-30,4162,2013-11-30,Western
2013-12-31,4077,2013-12-31,Western
2014-01-31,4193,2014-01-31,Western
2014-02-28,3762,2014-02-28,Western
2014-03-31,4703,2014-03-31,Western
2014-04-30,4824,2014-04-30,Western
2014-05-31,5070,2014-05-31,Western
2014-06-30,4822,2014-06-30,Western
2014-07-31,4992,2014-07-31,Western
2014-08-31,4952,2014-08-31,Western
2014-09-30,4593,2014-09-30,Western
2014-10-31,4640,2014-10-31,Western
2014-11-30,4064,2014-11-30,Western
2014-12-31,4036,2014-12-31,Western
2015-01-31,4173,2015-01-31,Western
2015-02-28,3791,2015-02-28,Western
2015-03-31,4772,2015-03-31,Western
2015-04-30,4922,2015-04-30,Western
2015-05-31,5171,2015-05-31,Western
2015-06-30,4966,2015-06-30,Western
2015-07-31,5155,2015-07-31,Western
2015-08-31,5122,2015-08-31,Western
2015-09-30,4797,2015-09-30,Western
2015-10-31,4867,2015-10-31,Western
2015-11-30,4293,2015-11-30,Western
2015-12-31,4286,2015-12-31,Western
2016-01-31,4389,2016-01-31,Western
2016-02-29,4109,2016-02-29,Western
2016-03-31,4946,2016-03-31,Western
2016-04-30,5012,2016-04-30,Western
2016-05-31,5200,2016-05-31,Western
2016-06-30,4960,2016-06-30,Western
2016-07-31,5082,2016-07-31,Western
2016-08-31,5018,2016-08-31,Western
2016-09-30,4648,2016-09-30,Western
2016-10-31,4648,2016-10-31,Western
2016-11-30,4084,2016-11-30,Western
2016-12-31,4045,2016-12-31,Western
2017-01-31,4123,2017-01-31,Western
2017-02-28,3723,2017-02-28,Western
2017-03-31,4664,2017-03-31,Western
2017-04-30,4714,2017-04-30,Western
2017-05-31,4914,2017-05-31,Western
2017-06-30,4665,2017-06-30,Western
2017-07-31,4748,2017-07-31,Western
2017-08-31,4691,2017-08-31,Western
2017-09-30,4319,2017-09-30,Western
2017-10-31,4297,2017-10-31,Western
2017-11-30,3733,2017-11-30,Western
2017-12-31,3666,2017-12-31,Western
2018-01-31,3786,2018-01-31,Western
2018-02-28,3413,2018-02-28,Western
2018-03-31,4347,2018-03-31,Western
2018-04-30,4432,2018-04-30,Western
2018-05-31,4651,2018-05-31,Western
2018-06-30,4424,2018-06-30,Western
2018-07-31,4512,2018-07-31,Western
2018-08-31,4539,2018-08-31,Western
2018-09-30,4301,2018-09-30,Western
2018-10-31,4478,2018-10-31,Western
2018-11-30,4058,2018-11-30,Western
2018-12-31,4139,2018-12-31,Western
2019-01-31,4374,2019-01-31,Western
2019-02-28,3927,2019-02-28,Western
2019-03-31,4861,2019-03-31,Western
2019-04-30,4920,2019-04-30,Western
2019-05-31,5113,2019-05-31,Western
2019-06-30,4820,2019-06-30,Western
2019-07-31,4932,2019-07-31,Western
2019-08-31,4850,2019-08-31,Western
2019-09-30,4428,2019-09-30,Western
2019-10-31,4436,2019-10-31,Western
2019-11-30,3854,2019-11-30,Western
2019-12-31,3742,2019-12-31,Western
2020-01-31,3850,2020-01-31,Western
2020-02-29,3566,2020-02-29,Western
2020-03-31,4324,2020-03-31,Western
2020-04-30,4397,2020-04-30,Western
2020-05-31,4559,2020-05-31,Western
2020-06-30,4303,2020-06-30,Western
2020-07-31,4393,2020-07-31,Western
2020-08-31,4283,2020-08-31,Western
2020-09-30,3915,2020-09-30,Western
2020-10-31,3899,2020-10-31,Western
2020-11-30,3295,2020-11-30,Western
2020-12-31,3215,2020-12-31,Western
2021-01-31,3296,2021-01-31,Western
2021-02-28,2952,2021-02-28,Western
2021-03-31,3790,2021-03-31,Western
2021-04-30,3877,2021-04-30,Western
